Pieza,Cantidad,Modelo
brazo_330,30,pintada 330
teletubi_330,16,pintada 330
vela_final_330,7,pintada 330
cubre_motor_rectangulo,12,pintada 330
planchada_final_330,5,pintada 330
tapa_afilador,31,pintada 330
pipas,45,pintada 330
perilla_cubrecuchilla,24,pintada 330
base_pre_armada330pint,32,pintada 330
pinche_frontal,19,pintada 330
pinche_lateral,19,pintada 330
garantia,32,pintada 330
manual_instruc,32,pintada 330
etiqueta_peligro,32,pintada 330
F_circulo,32,pintada 330
F_cuadrado,32,pintada 330
circulo_argentina,32,pintada 330
etiqueta_cable,32,pintada 330
fadeco_330_3estrella,32,pintada 330
